CityName,PinCode,Name of Location ,State Name,Region,COD,Provider,zone_id
Gurgaon,122018,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122050,Gurgaon,Delhi,North,Y,ARAMEX,1483
Gurgaon,122051,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Rewari,122100,Bhiwadi,Rajasthan,NORTH,N,ARAMEX,1501
Rewari,122106,Bhiwadi,Rajasthan,NORTH,N,ARAMEX,1501
Rewari,123401,Rewari,Haryana,North,N,ARAMEX,1486
Rewari,123501,Bawal,Haryana,NORTH,N,ARAMEX,1486
Jhajjar,124507,Jhajjar,Haryana,North,N,ARAMEX,1486
Hisar,125001,Hissar,Haryana,North,N,ARAMEX,1486
Haryana,125002,Hissar,Haryana,North,N,ARAMEX,1486
Haryana,125003,Hissar,Haryana,North,N,ARAMEX,1486
Hisar,125004,Hissar,Haryana,North,N,ARAMEX,1486
Hisar,125005,Hissar,Haryana,North,N,ARAMEX,1486
Haryana,125021,Hissar,Haryana,North,N,ARAMEX,1486
Hisar,125033,Hissar,Haryana,North,N,ARAMEX,1486
Hisar,125044,Hissar,Punjab,North,N,ARAMEX,1500
Haryana,125046,Hissar,Punjab,North,N,ARAMEX,1500
Fatehabad,125050,Hissar,Haryana,North,N,ARAMEX,1486
Fatehabad,125051,Hissar,Haryana,North,N,ARAMEX,1486
Hisar,125052,Hissar,Haryana,North,N,ARAMEX,1486
Fatehabad,125053,Hissar,Haryana,North,N,ARAMEX,1486
Sirsa,125055,Sirsa,Haryana,NORTH,N,ARAMEX,1486
Sirsa,125104,Dabwali,Haryana,NORTH,N,ARAMEX,1486
Jind,126102,Jind,Haryana,North,N,ARAMEX,1486
Bhiwani,127021,Bhiwani,Haryana,NORTH,N,ARAMEX,1486
Sonipat,131001,Sonipat,Haryana,North,N,ARAMEX,1486
Sonipat,131021,Sonepat,Haryana,NORTH,N,ARAMEX,1486
Sonipat,131027,Sonipat,Haryana,North,N,ARAMEX,1486
Sonipat,131028,Kundli,Haryana,NORTH,N,ARAMEX,1486
Sonipat,131029,Sonipat,Haryana,North,N,ARAMEX,1486
Karnal,132001,Karnal,Haryana,North,N,ARAMEX,1486
Haryana,132027,Haryana,Haryana,North,N,ARAMEX,1486
Karnal,132041,Karnal,Haryana,North,N,ARAMEX,1486
Panipat,132101,Panipat,Haryana,North,N,ARAMEX,1486
Panipat,132103,Panipat,Haryana,North,N,ARAMEX,1486
Panipat,132104,Panipat,Haryana,North,N,ARAMEX,1486
Panipat,132105,Panipat,Haryana,North,N,ARAMEX,1486
Panipat,132106,Panipat,Haryana,North,N,ARAMEX,1486
Karnal,132116,Karnal,Haryana,North,N,ARAMEX,1486
Kurukshetra,132118,Kurukshetra,Haryana,North,N,ARAMEX,1486
Haryana,132119,Haryana,Haryana,North,N,ARAMEX,1486
Haryana,132131,Haryana,Haryana,North,N,ARAMEX,1486
Haryana,132135,Haryana,Haryana,North,N,ARAMEX,1486
Panipat,132140,Panipat,Haryana,North,N,ARAMEX,1486
Panipat,132151,Panipat,Haryana,NORTH,N,ARAMEX,1486
