CityName,PinCode,Name of Location ,Region,COD,zone_id,Provider
Mandi,175001,Mandi,North,1,1487,ARAMEX
Kangra,176057,Dharamshala,NORTH,1,1487,ARAMEX
Kangra,176061,Kangra,North,1,1487,ARAMEX
Kangra,176215,Kangra,North,1,1487,ARAMEX
Kangra,176216,Dharamshala,NORTH,1,1487,ARAMEX
Kangra,176218,Dharamshala,NORTH,1,1487,ARAMEX
Kangra,176219,Kangra,North,1,1487,ARAMEX
Jammu,180001,Jammu,North,1,1488,ARAMEX
Jammu,180002,Jammu,North,1,1488,ARAMEX
Jammu,180003,Jammu,North,1,1488,ARAMEX
Jammu,180004,Jammu,North,1,1488,ARAMEX
Jammu,180005,Jammu,North,1,1488,ARAMEX
Jammu,180006,Jammu,North,1,1488,ARAMEX
Jammu,180007,Jammu,North,1,1488,ARAMEX
Jammu & Kashmir,180008,Jammu,North,1,1488,ARAMEX
Jammu,180009,Jammu,North,1,1488,ARAMEX
Jammu,180010,Jammu,North,1,1488,ARAMEX
Jammu,180011,Jammu,North,1,1488,ARAMEX
Jammu,180012,Jammu,North,1,1488,ARAMEX
Jammu,180013,Jammu,North,1,1488,ARAMEX
Jammu & Kashmir,180014,Jammu,North,1,1488,ARAMEX
Jammu,180015,Jammu,North,1,1488,ARAMEX
Jammu,181101,Jammu,North,1,1488,ARAMEX
Jammu,181104,Jammu,North,1,1488,ARAMEX
Jammu,181121,Jammu,North,1,1488,ARAMEX
Jammu,181123,Jammu,North,1,1488,ARAMEX
Jammu,181124,Jammu,North,1,1488,ARAMEX
Jammu,181133,Jammu,North,1,1488,ARAMEX
Jammu,181152,Jammu,North,1,1488,ARAMEX
